policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
QIO-HighQuality,2,140,4.573609448355001,139.79148864746094,True,-400.09766368552926,,True,1,4.573609448355001,4.573609448355001,13.184669827719864,34.68884324080154,13.184669827719864,34.68884324080154,65.31115675919845
LocalSearch,2,140,4.573609448355001,4.082441329956055,True,-400.09766368552926,,True,1,4.573609448355001,4.573609448355001,13.184669827719864,34.68884324080154,13.184669827719864,34.68884324080154,65.31115675919845
ExactSmall,2,140,13.184669827719864,39.69073295593262,True,6045.985914313092,16.0,True,3,11.977660352663445,13.184669827719864,13.184669827719864,100.0,13.184669827719864,100.0,0.0
Greedy,2,150,1.9996293875335756,1.5087127685546875,True,,,True,1,1.9996293875335756,1.9996293875335756,12.574182530139684,15.902659140986417,12.574182530139684,15.902659140986417,84.09734085901358
QIO-Default,2,150,2.1562728403828504,18.329620361328125,True,-385.77190189675076,,True,1,2.1562728403828504,2.1562728403828504,12.574182530139684,17.148413705736917,12.574182530139684,17.148413705736917,82.85158629426307
QIO-HighQuality,2,150,2.1562728403828504,163.86175155639648,True,-385.77190189675076,,True,1,2.1562728403828504,2.1562728403828504,12.574182530139684,17.148413705736917,12.574182530139684,17.148413705736917,82.85158629426307
LocalSearch,2,150,2.1562728403828504,4.153728485107422,True,-385.77190189675076,,True,1,2.1562728403828504,2.1562728403828504,12.574182530139684,17.148413705736917,12.574182530139684,17.148413705736917,82.85158629426307
ExactSmall,2,150,12.574182530139684,45.07923126220703,True,5974.6246660699635,16.0,True,2,9.504301057090586,12.574182530139684,12.574182530139684,100.0,12.574182530139684,100.0,0.0
Greedy,2,160,1.9995734840556187,1.4348030090332031,True,,,True,1,1.9995734840556187,1.9995734840556187,12.939074254677418,15.453760019444836,12.939074254677418,15.453760019444836,84.54623998055517
QIO-Default,2,160,3.6887538279933185,19.374370574951172,True,-389.96565603819806,,True,3,2.4834725664220008,3.6887538279933185,12.939074254677418,28.50863790861893,12.939074254677418,28.50863790861893,71.49136209138108
QIO-HighQuality,2,160,3.6887538279933185,154.65402603149414,True,-389.96565603819806,,True,3,2.4834725664220008,3.6887538279933185,12.939074254677418,28.50863790861893,12.939074254677418,28.50863790861893,71.49136209138108
LocalSearch,2,160,2.026243957797104,3.9322376251220703,True,-390.38974928657717,,True,1,2.026243957797104,2.026243957797104,12.939074254677418,15.659883527329058,12.939074254677418,15.659883527329058,84.34011647267096
ExactSmall,2,160,12.939074254677418,36.90361976623535,True,4704.9491088704,16.0,True,2,10.59655178043874,12.939074254677418,12.939074254677418,100.0,12.939074254677418,100.0,0.0
Greedy,2,170,1.9996250241899305,1.505136489868164,True,,,True,1,1.9996250241899305,1.9996250241899305,12.647836719248152,15.81001612035989,12.647836719248152,15.81001612035989,84.18998387964011
QIO-Default,2,170,3.9024923517913948,20.245075225830078,True,-385.61205622561715,,True,4,2.460020475153023,3.9024923517913948,12.647836719248152,30.855018438468406,12.647836719248152,30.855018438468406,69.1449815615316
QIO-HighQuality,2,170,3.9024923517913948,158.9677333831787,True,-385.61205622561715,,True,4,2.460020475153023,3.9024923517913948,12.647836719248152,30.855018438468406,12.647836719248152,30.855018438468406,69.1449815615316
LocalSearch,2,170,3.9024923517913948,8.227109909057617,True,-385.61205622561715,,True,4,2.460020475153023,3.9024923517913948,12.647836719248152,30.855018438468406,12.647836719248152,30.855018438468406,69.1449815615316
ExactSmall,2,170,12.647836719248152,43.79081726074219,True,5852.275209069587,16.0,True,2,9.686103197116086,12.647836719248152,12.647836719248152,100.0,12.647836719248152,100.0,0.0
